year,rf_co2,rf_ch4,rf_n2o
1750,0.0,0.0,0.0
1751,2.584456879874149e-05,-0.00022948621146654243,0.0007321385916379171
1752,5.0832761794037334e-05,-0.0004319901420532094,0.0014581824696696544
1753,7.40456980288327e-05,-0.0006106763215637187,0.0021781831515908534
1754,9.50199616699239e-05,-0.000768339792978918,0.002892191908412733
1755,0.00011363625801493511,-0.0009074488875422788,0.0036002597297079856
1756,0.00013001154193424547,-0.001030183128932261,0.0043024372950224415
1757,0.0001443824243772175,-0.0011384668031197145,0.004998774950930535
1758,0.00015692938806867964,-0.0012339986754675194,0.005689322693665786
1759,0.00016771234758084885,-0.001318278286286738,0.006374130155186794
1760,0.0001767509808744322,-0.0013926292102533306,0.007053246590793265
1761,0.0001841138658822975,-0.0014582196235936543,0.007726720868483095
1762,0.00018991173946340126,-0.0015160804854843384,0.00839460146127687
1763,0.00019423380325610606,-0.001567121606376229,0.00905693644234625
1764,0.0001971210813196014,-0.0016121458456933373,0.009713773481526064
1765,0.0001985986929976258,-0.001651861654234651,0.010365159842157419
1766,0.00019871235545554795,-0.0010573784542859748,0.011005606590361233
1767,0.0002210494933628021,-0.0003704864864622388,0.011635161950225955
1768,0.0005178052051508263,0.0003982324797137088,0.012253914678656302
1769,0.0011800860188871725,0.001239464573954496,0.012861955675146506
1770,0.001916176416528087,0.0021450168579803456,0.013459384365803951
1771,0.002535760743668308,0.0031076867313933514,0.014046298179089728
1772,0.003118469087965309,0.0041211460066698955,0.014622787345712002
1773,0.003823289700718255,0.00517983814435225,0.015188938764591766
1774,0.004663957978309963,0.006278887351815266,0.015744842117428357
1775,0.005587509039525887,0.007414018097402005,0.016290588251092274
1776,0.006556753432135543,0.00858148419461522,0.016826266929289832
1777,0.007554780098679437,0.009778006072410953,0.017351966589777713
1778,0.00857505346045465,0.011000715485381297,0.017867774564944403
1779,0.009611852708782022,0.012247106763865423,0.018373777349794403
1780,0.010661983694088616,0.01351499396175468,0.018870060538053263
1781,0.01172645841915016,0.014802473101556746,0.01935670875031913
1782,0.012811685709880217,0.016107888765032524,0.01983380557504919
1783,0.013916637059888675,0.017429804923035263,0.020301434032413877
1784,0.014990598035434117,0.018766979349546714,0.020759678239564292
1785,0.01587470216273504,0.020118340936302548,0.021208625923437793
1786,0.01654434182007534,0.021482969677522022,0.02164835913351485
1787,0.017268209442125225,0.022860079002457907,0.022078947183538686
1788,0.018218668269241324,0.02424900070119045,0.022500461732591064
1789,0.019331584816105717,0.025649171808899796,0.02291298319155563
1790,0.020503125324171766,0.02706012242397021,0.023316593128661984
1791,0.02148207061214137,0.028481464887684667,0.02371137916140641
1792,0.022092122170875046,0.029912885262452674,0.02409742553912413
1793,0.022647113793276042,0.031354135425081336,0.024474793972580088
1794,0.023478879311498637,0.03280502557215594,0.024843543697945097
1795,0.024561309308078687,0.03426541822769356,0.025203749081099007
1796,0.025740204020397978,0.03573522316083249,0.025555489937840088
1797,0.02689909076082863,0.037214392512238854,0.025898843990356156
1798,0.02804303913451929,0.03870291677813282,0.026233882632420446
1799,0.02922898471137062,0.040200820920358114,0.026560673997976365
1800,0.03046230388409157,0.041708161540777444,0.026879287967890377
1801,0.03172155429958804,0.04322502412612858,0.02718979509446631
1802,0.03299120306392991,0.04475152025157019,0.02749226502079042
1803,0.03427376095970871,0.046287786588490955,0.027786765840404296
1804,0.03556201190059737,0.04783398207238373,0.028073365484268552
1805,0.03684394308418588,0.04939028695460865,0.0283521315288249
1806,0.03812348009365665,0.05095690101581215,0.028623130081731167
1807,0.039407124257625534,0.052534042993862315,0.028886426479815472
1808,0.04069624134641214,0.0541219492507907,0.02914208570240518
1809,0.041985771916871646,0.05572087317672379,0.029390172475920694
1810,0.042301961785232566,0.05733108450717709,0.029630804436865582
1811,0.039962598490339236,0.05895286883806324,0.029864139750667585
1812,0.036073876987186886,0.06058652688079437,0.03009018224592542
1813,0.033061314978396684,0.062232374354359424,0.030308858787191
1814,0.03179333109572048,0.06389074151895385,0.030520180375131326
1815,0.03171245630350431,0.06556197370667073,0.030724237717507496
1816,0.031118314940544307,0.0672464303762889,0.03092118763664391
1817,0.027499703625880674,0.06894448502518756,0.031111235781747147
1818,0.021571203456820086,0.07065652587788389,0.03129440257759474
1819,0.016985672503442052,0.07238295539233351,0.03147053507421266
1820,0.015399383121231128,0.07412419063363729,0.031639592837469734
1821,0.01604379650914719,0.0758806628588215,0.031801676104098585
1822,0.017787127737505605,0.0776528187981824,0.031956907091791775
1823,0.019893917863870656,0.0794411194288978,0.03210538530434223
1824,0.02206104792495607,0.0812460415058622,0.03224718474164264
1825,0.0241870795101175,0.08306807681344143,0.0323823671071852
1826,0.026252677519361597,0.08490773318620945,0.03251098875574072
1827,0.028262996890950798,0.08676553476230826,0.032633104088513144
1828,0.030229042219585073,0.08864202139230282,0.03274876664307889
1829,0.032160734506811846,0.09053775035061042,0.03285802953636076
1830,0.034053308010432555,0.09245329557848835,0.032960946308661296
1831,0.035878202178154746,0.09438924912985788,0.03305757148399988
1832,0.037273547829660324,0.09634622086331783,0.03314797976397672
1833,0.037753250042022526,0.09832483871342278,0.033232253335641865
1834,0.03767759038925014,0.10032575003095139,0.033310421605570295
1835,0.03798131456726572,0.102349621088127,0.03338247749390568
1836,0.038234416416272926,0.10439713865422255,0.03344849812119897
1837,0.03728141733693546,0.1064690096328255,0.0335086057545746
1838,0.035854820172599076,0.10856596173702444,0.03356280448345678
1839,0.035434692701995014,0.11068874419439836,0.03361105078754096
1840,0.03629606065385239,0.11283812867259166,0.033653375869751416
1841,0.037959466518162524,0.11501490932868805,0.033689857883707694
1842,0.03990775058166633,0.11721990331166614,0.03372057715407519
1843,0.04190952226170793,0.11945395209715327,0.033745595800508316
1844,0.043919559321084906,0.12171792183708047,0.03376496387549814
1845,0.04586848321176689,0.12401270346101496,0.033778732582512856
